duration,month,hour,day_of_week,user_type
15.43333333,3,23,Thursday,Subscriber
3.3,3,22,Thursday,Subscriber
2.066666667,3,22,Thursday,Subscriber
19.68333333,3,22,Thursday,Subscriber
10.93333333,3,22,Thursday,Subscriber
19,3,21,Thursday,Subscriber
6.966666667,3,21,Thursday,Subscriber
17.03333333,3,20,Thursday,Subscriber
6.116666667,3,20,Thursday,Subscriber
6.316666667,3,20,Thursday,Subscriber
11.3,3,20,Thursday,Subscriber
8.3,3,20,Thursday,Subscriber
8.283333333,3,19,Thursday,Subscriber
36.03333333,3,19,Thursday,Subscriber
5.833333333,3,19,Thursday,Subscriber
5.35,3,19,Thursday,Subscriber
6.416666667,3,19,Thursday,Subscriber
12.13333333,3,19,Thursday,Subscriber
2.533333333,3,19,Thursday,Subscriber
8.7,3,19,Thursday,Subscriber
6.933333333,3,19,Thursday,Subscriber
13.71666667,3,18,Thursday,Subscriber
20.06666667,3,18,Thursday,Subscriber
21.81666667,3,18,Thursday,Customer
14.28333333,3,18,Thursday,Subscriber
6.266666667,3,18,Thursday,Subscriber
10.3,3,18,Thursday,Subscriber
4.733333333,3,18,Thursday,Subscriber
9.116666667,3,18,Thursday,Subscriber
4.266666667,3,17,Thursday,Subscriber
7.8,3,17,Thursday,Subscriber
9.716666667,3,17,Thursday,Subscriber
2.466666667,3,17,Thursday,Subscriber
14.56666667,3,17,Thursday,Subscriber
4.75,3,17,Thursday,Subscriber
9.35,3,17,Thursday,Subscriber
4.533333333,3,17,Thursday,Subscriber
5.25,3,17,Thursday,Subscriber
14.43333333,3,17,Thursday,Subscriber
22.31666667,3,17,Thursday,Customer
20.91666667,3,17,Thursday,Subscriber
9.733333333,3,17,Thursday,Subscriber
6.183333333,3,17,Thursday,Subscriber
10.33333333,3,17,Thursday,Subscriber
29.8,3,17,Thursday,Subscriber
2.483333333,3,17,Thursday,Subscriber
12.18333333,3,17,Thursday,Subscriber
10.38333333,3,17,Thursday,Subscriber
14.21666667,3,17,Thursday,Subscriber
5.866666667,3,17,Thursday,Subscriber
12.75,3,17,Thursday,Subscriber
10.7,3,17,Thursday,Subscriber
6.583333333,3,17,Thursday,Subscriber
14.01666667,3,17,Thursday,Subscriber
5.65,3,16,Thursday,Subscriber
8.116666667,3,16,Thursday,Subscriber
19.05,3,16,Thursday,Subscriber
12.28333333,3,16,Thursday,Subscriber
8.483333333,3,16,Thursday,Subscriber
10.01666667,3,16,Thursday,Subscriber
4.383333333,3,16,Thursday,Subscriber
9.033333333,3,16,Thursday,Subscriber
18.03333333,3,16,Thursday,Subscriber
26.36666667,3,16,Thursday,Customer
3.433333333,3,16,Thursday,Subscriber
12.33333333,3,16,Thursday,Customer
16.61666667,3,16,Thursday,Subscriber
2.85,3,16,Thursday,Subscriber
37.75,3,16,Thursday,Subscriber
25.7,3,15,Thursday,Customer
11.45,3,15,Thursday,Subscriber
11.36666667,3,15,Thursday,Subscriber
8.783333333,3,15,Thursday,Subscriber
30.5,3,15,Thursday,Subscriber
29.58333333,3,15,Thursday,Customer
23.66666667,3,15,Thursday,Subscriber
3.866666667,3,15,Thursday,Subscriber
3.1,3,15,Thursday,Subscriber
10.66666667,3,14,Thursday,Customer
16.58333333,3,14,Thursday,Subscriber
24.8,3,14,Thursday,Customer
10.05,3,14,Thursday,Subscriber
5.9,3,14,Thursday,Customer
25.73333333,3,14,Thursday,Subscriber
3.5,3,14,Thursday,Subscriber
189.9333333,3,14,Thursday,Subscriber
6,3,13,Thursday,Subscriber
1.1,3,13,Thursday,Subscriber
26.16666667,3,13,Thursday,Customer
91.3,3,12,Thursday,Customer
5.25,3,12,Thursday,Subscriber
7.833333333,3,12,Thursday,Subscriber
4.35,3,11,Thursday,Subscriber
8.8,3,11,Thursday,Subscriber
10.7,3,11,Thursday,Subscriber
9.483333333,3,11,Thursday,Subscriber
14.4,3,11,Thursday,Subscriber
42.6,3,11,Thursday,Customer
5.433333333,3,11,Thursday,Subscriber
16.51666667,3,10,Thursday,Subscriber
4.65,3,10,Thursday,Subscriber
2.816666667,3,9,Thursday,Subscriber
7.516666667,3,9,Thursday,Subscriber
10.55,3,9,Thursday,Subscriber
21.7,3,9,Thursday,Subscriber
12.06666667,3,8,Thursday,Subscriber
13.25,3,8,Thursday,Subscriber
18,3,8,Thursday,Subscriber
7.033333333,3,8,Thursday,Subscriber
20.91666667,3,8,Thursday,Customer
9.333333333,3,8,Thursday,Subscriber
3.366666667,3,7,Thursday,Subscriber
7.483333333,3,7,Thursday,Subscriber
6.883333333,3,7,Thursday,Subscriber
2.45,3,7,Thursday,Subscriber
3.45,3,7,Thursday,Subscriber
7.533333333,3,6,Thursday,Subscriber
11.83333333,3,6,Thursday,Subscriber
6.983333333,3,6,Thursday,Subscriber
7.516666667,3,6,Thursday,Subscriber
6.783333333,3,4,Thursday,Subscriber
9.833333333,3,0,Thursday,Subscriber
17.9,3,23,Wednesday,Subscriber
17.21666667,3,21,Wednesday,Subscriber
12.33333333,3,21,Wednesday,Subscriber
11.45,3,19,Wednesday,Subscriber
3.333333333,3,19,Wednesday,Subscriber
10.36666667,3,19,Wednesday,Subscriber
14.05,3,19,Wednesday,Subscriber
10.38333333,3,19,Wednesday,Subscriber
6.5,3,19,Wednesday,Subscriber
24.75,3,19,Wednesday,Subscriber
6.833333333,3,18,Wednesday,Subscriber
10.63333333,3,18,Wednesday,Subscriber
5.5,3,18,Wednesday,Subscriber
2.333333333,3,18,Wednesday,Subscriber
6.016666667,3,18,Wednesday,Subscriber
16.05,3,18,Wednesday,Subscriber
9.9,3,17,Wednesday,Subscriber
18.9,3,17,Wednesday,Subscriber
10.33333333,3,17,Wednesday,Subscriber
2.45,3,17,Wednesday,Subscriber
22.13333333,3,17,Wednesday,Subscriber
5.75,3,17,Wednesday,Customer
5.783333333,3,17,Wednesday,Subscriber
7.65,3,17,Wednesday,Subscriber
20.86666667,3,17,Wednesday,Subscriber
12.38333333,3,17,Wednesday,Subscriber
3.583333333,3,17,Wednesday,Subscriber
3.35,3,17,Wednesday,Subscriber
5.45,3,17,Wednesday,Subscriber
11.28333333,3,17,Wednesday,Subscriber
9.733333333,3,17,Wednesday,Subscriber
16.25,3,16,Wednesday,Subscriber
9.583333333,3,16,Wednesday,Subscriber
3,3,16,Wednesday,Subscriber
9.083333333,3,16,Wednesday,Subscriber
4.883333333,3,16,Wednesday,Subscriber
10.33333333,3,16,Wednesday,Subscriber
6.366666667,3,16,Wednesday,Subscriber
35.78333333,3,16,Wednesday,Customer
2.6,3,16,Wednesday,Subscriber
11.25,3,15,Wednesday,Subscriber
11.53333333,3,15,Wednesday,Subscriber
27.65,3,15,Wednesday,Customer
10.28333333,3,15,Wednesday,Subscriber
4.7,3,15,Wednesday,Subscriber
12.01666667,3,15,Wednesday,Subscriber
10.53333333,3,15,Wednesday,Subscriber
10.78333333,3,15,Wednesday,Subscriber
40.58333333,3,15,Wednesday,Customer
14.41666667,3,15,Wednesday,Subscriber
12.95,3,15,Wednesday,Subscriber
8,3,15,Wednesday,Customer
10.91666667,3,15,Wednesday,Subscriber
16.36666667,3,15,Wednesday,Customer
18.35,3,15,Wednesday,Subscriber
9.966666667,3,14,Wednesday,Subscriber
5.983333333,3,14,Wednesday,Subscriber
5.633333333,3,14,Wednesday,Subscriber
3.316666667,3,14,Wednesday,Subscriber
14.95,3,14,Wednesday,Subscriber
19.15,3,14,Wednesday,Subscriber
5.6,3,13,Wednesday,Subscriber
